* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-07-09 18:38:45 PM CST
* Date Modified = 2018-07-09 20:35:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = H:\Spring_Work\35. Data\2018-5-30 pathogen qPCR\2018-07-09 183809.eds
* Experiment Name = 2018-07-09 183809
* Experiment Run Start Time = 2018-07-10 02:54:59 AM CST
* Experiment Run Stop Time = 2018-07-10 04:48:33 AM CST
* Experiment Type = Relative Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
1	A1	184	89.553	0.074	0.001
1	A1	185	89.632	0.073	0.001
1	A1	186	89.712	0.073	0.001
1	A1	187	89.791	0.073	0.001
1	A1	188	89.870	0.073	0.001
2	A2	1	75.065	1.497	0.588
2	A2	2	75.145	1.463	0.594
2	A2	3	75.224	1.408	0.599
2	A2	4	75.303	1.362	0.604
2	A2	5	75.382	1.310	0.606
2	A2	6	75.461	1.261	0.606
2	A2	7	75.540	1.212	0.606
2	A2	8	75.620	1.166	0.604
2	A2	9	75.699	1.119	0.603
2	A2	10	75.778	1.069	0.601
2	A2	11	75.857	1.023	0.599
2	A2	12	75.936	0.976	0.596
2	A2	13	76.015	0.928	0.592
2	A2	14	76.095	0.877	0.587
2	A2	15	76.174	0.831	0.582
2	A2	16	76.253	0.789	0.575
2	A2	17	76.332	0.741	0.568
2	A2	18	76.411	0.695	0.558
2	A2	19	76.490	0.647	0.547
2	A2	20	76.570	0.605	0.534
2	A2	21	76.649	0.565	0.519
2	A2	22	76.728	0.521	0.502
2	A2	23	76.807	0.481	0.484
2	A2	24	76.886	0.444	0.463
2	A2	25	76.965	0.407	0.441
2	A2	26	77.045	0.373	0.417
2	A2	27	77.124	0.341	0.392
2	A2	28	77.203	0.310	0.365
2	A2	29	77.282	0.282	0.338
2	A2	30	77.361	0.259	0.310
2	A2	31	77.440	0.234	0.282
2	A2	32	77.520	0.212	0.255
2	A2	33	77.599	0.193	0.228
2	A2	34	77.678	0.179	0.202
2	A2	35	77.757	0.164	0.178
2	A2	36	77.836	0.152	0.156
2	A2	37	77.915	0.141	0.136
2	A2	38	77.995	0.132	0.119
2	A2	39	78.074	0.126	0.104
2	A2	40	78.153	0.119	0.090
2	A2	41	78.232	0.112	0.078
2	A2	42	78.311	0.104	0.068
2	A2	43	78.390	0.102	0.058
2	A2	44	78.470	0.099	0.050
2	A2	45	78.549	0.096	0.043
2	A2	46	78.628	0.094	0.037
2	A2	47	78.707	0.090	0.033
2	A2	48	78.786	0.090	0.028
2	A2	49	78.865	0.086	0.025
2	A2	50	78.945	0.084	0.022
2	A2	51	79.024	0.083	0.019
2	A2	52	79.103	0.082	0.016
2	A2	53	79.182	0.082	0.014
2	A2	54	79.261	0.080	0.012
2	A2	55	79.340	0.079	0.010
2	A2	56	79.420	0.080	0.009
2	A2	57	79.499	0.077	0.007
2	A2	58	79.578	0.077	0.006
2	A2	59	79.657	0.078	0.006
2	A2	60	79.736	0.078	0.005
2	A2	61	79.816	0.077	0.005
2	A2	62	79.895	0.075	0.005
2	A2	63	79.974	0.076	0.005
2	A2	64	80.053	0.076	0.005
2	A2	65	80.132	0.075	0.004
2	A2	66	80.211	0.074	0.004
2	A2	67	80.291	0.076	0.004
2	A2	68	80.370	0.074	0.003
2	A2	69	80.449	0.074	0.003
2	A2	70	80.528	0.072	0.002
2	A2	71	80.607	0.074	0.001
2	A2	72	80.686	0.074	0.001
2	A2	73	80.766	0.072	0.001
2	A2	74	80.845	0.074	0.002
2	A2	75	80.924	0.075	0.002
2	A2	76	81.003	0.074	0.003
2	A2	77	81.082	0.073	0.004
2	A2	78	81.161	0.072	0.004
2	A2	79	81.241	0.070	0.004
2	A2	80	81.320	0.072	0.004
2	A2	81	81.399	0.072	0.004
2	A2	82	81.478	0.071	0.003
2	A2	83	81.557	0.071	0.003
2	A2	84	81.636	0.071	0.002
2	A2	85	81.716	0.070	0.002
2	A2	86	81.795	0.068	0.001
2	A2	87	81.874	0.071	0.001
2	A2	88	81.953	0.070	0.001
2	A2	89	82.032	0.070	0.001
2	A2	90	82.111	0.071	0.001
2	A2	91	82.191	0.071	0.002
2	A2	92	82.270	0.069	0.002
2	A2	93	82.349	0.070	0.002
2	A2	94	82.428	0.069	0.002
2	A2	95	82.507	0.069	0.002
2	A2	96	82.586	0.069	0.001
2	A2	97	82.666	0.069	0.001
2	A2	98	82.745	0.070	0.000
2	A2	99	82.824	0.068	0.000
2	A2	100	82.903	0.070	0.001
2	A2	101	82.982	0.069	0.001
2	A2	102	83.061	0.071	0.002
2	A2	103	83.141	0.070	0.003
2	A2	104	83.220	0.068	0.003
2	A2	105	83.299	0.067	0.003
2	A2	106	83.378	0.068	0.003
2	A2	107	83.457	0.067	0.003
2	A2	108	83.536	0.068	0.002
2	A2	109	83.616	0.067	0.002
2	A2	110	83.695	0.067	0.002
2	A2	111	83.774	0.069	0.003
2	A2	112	83.853	0.066	0.003
2	A2	113	83.932	0.066	0.003
2	A2	114	84.011	0.066	0.002
2	A2	115	84.091	0.066	0.002
2	A2	116	84.170	0.067	0.002
2	A2	117	84.249	0.065	0.001
2	A2	118	84.328	0.067	0.001
2	A2	119	84.407	0.065	0.000
2	A2	120	84.486	0.066	0.000
2	A2	121	84.566	0.066	0.000
2	A2	122	84.645	0.065	0.000
2	A2	123	84.724	0.068	0.000
2	A2	124	84.803	0.065	0.001
2	A2	125	84.882	0.067	0.001
2	A2	126	84.961	0.065	0.001
2	A2	127	85.041	0.064	0.001
2	A2	128	85.120	0.065	0.001
2	A2	129	85.199	0.066	0.001
2	A2	130	85.278	0.066	0.002
2	A2	131	85.357	0.064	0.002
2	A2	132	85.436	0.064	0.002
2	A2	133	85.516	0.065	0.001
2	A2	134	85.595	0.064	0.001
2	A2	135	85.674	0.064	0.001
2	A2	136	85.753	0.065	0.001
2	A2	137	85.832	0.065	0.001
2	A2	138	85.911	0.065	0.001
2	A2	139	85.991	0.064	0.001
2	A2	140	86.070	0.063	0.002
2	A2	141	86.149	0.064	0.002
2	A2	142	86.228	0.065	0.002
2	A2	143	86.307	0.063	0.002
2	A2	144	86.386	0.064	0.001
2	A2	145	86.466	0.062	0.001
2	A2	146	86.545	0.064	0.001
2	A2	147	86.624	0.063	0.001
2	A2	148	86.703	0.065	0.001
2	A2	149	86.782	0.064	0.001
2	A2	150	86.862	0.062	0.002
2	A2	151	86.941	0.062	0.002
2	A2	152	87.020	0.063	0.002
2	A2	153	87.099	0.064	0.002
2	A2	154	87.178	0.062	0.002
2	A2	155	87.257	0.061	0.002
2	A2	156	87.337	0.062	0.002
2	A2	157	87.416	0.062	0.001
2	A2	158	87.495	0.061	0.000
2	A2	159	87.574	0.063	-0.000
2	A2	160	87.653	0.061	-0.001
2	A2	161	87.732	0.062	-0.001
2	A2	162	87.812	0.062	-0.000
2	A2	163	87.891	0.064	-0.000
2	A2	164	87.970	0.062	0.001
2	A2	165	88.049	0.063	0.001
2	A2	166	88.128	0.060	0.002
2	A2	167	88.207	0.062	0.002
2	A2	168	88.287	0.061	0.001
2	A2	169	88.366	0.061	0.001
2	A2	170	88.445	0.061	0.001
2	A2	171	88.524	0.061	0.001
2	A2	172	88.603	0.062	0.001
2	A2	173	88.682	0.061	0.001
2	A2	174	88.762	0.061	0.001
2	A2	175	88.841	0.061	0.002
2	A2	176	88.920	0.060	0.002
2	A2	177	88.999	0.060	0.001
2	A2	178	89.078	0.060	0.001
2	A2	179	89.157	0.062	0.001
2	A2	180	89.237	0.059	0.000
2	A2	181	89.316	0.061	0.000
2	A2	182	89.395	0.060	0.001
2	A2	183	89.474	0.061	0.001
2	A2	184	89.553	0.060	0.001
2	A2	185	89.632	0.061	0.002
2	A2	186	89.712	0.059	0.002
2	A2	187	89.791	0.059	0.001
2	A2	188	89.870	0.060	0.001
3	A3	1	75.065	1.594	0.606
3	A3	2	75.145	1.541	0.616
3	A3	3	75.224	1.475	0.626
3	A3	4	75.303	1.418	0.634
3	A3	5	75.382	1.364	0.638
3	A3	6	75.461	1.308	0.640
3	A3	7	75.540	1.251	0.640
3	A3	8	75.620	1.192	0.637
3	A3	9	75.699	1.140	0.632
3	A3	10	75.778	1.083	0.626
3	A3	11	75.857	1.030	0.619
3	A3	12	75.936	0.975	0.609
3	A3	13	76.015	0.921	0.598
3	A3	14	76.095	0.870	0.586
3	A3	15	76.174	0.818	0.573
3	A3	16	76.253	0.772	0.559
3	A3	17	76.332	0.720	0.545
3	A3	18	76.411	0.675	0.528
3	A3	19	76.490	0.627	0.511
3	A3	20	76.570	0.584	0.491
3	A3	21	76.649	0.541	0.470
3	A3	22	76.728	0.501	0.448
3	A3	23	76.807	0.462	0.425
3	A3	24	76.886	0.427	0.401
3	A3	25	76.965	0.392	0.376
3	A3	26	77.045	0.361	0.351
3	A3	27	77.124	0.333	0.327
3	A3	28	77.203	0.306	0.302
3	A3	29	77.282	0.282	0.279
3	A3	30	77.361	0.259	0.256
3	A3	31	77.440	0.239	0.233
3	A3	32	77.520	0.220	0.212
3	A3	33	77.599	0.202	0.192
3	A3	34	77.678	0.187	0.172
3	A3	35	77.757	0.173	0.154
3	A3	36	77.836	0.162	0.137
3	A3	37	77.915	0.153	0.122
3	A3	38	77.995	0.143	0.109
3	A3	39	78.074	0.134	0.097
3	A3	40	78.153	0.126	0.085
3	A3	41	78.232	0.120	0.076
3	A3	42	78.311	0.116	0.067
3	A3	43	78.390	0.111	0.059
3	A3	44	78.470	0.106	0.052
3	A3	45	78.549	0.101	0.046
3	A3	46	78.628	0.099	0.040
3	A3	47	78.707	0.097	0.036
3	A3	48	78.786	0.092	0.031
3	A3	49	78.865	0.090	0.027
3	A3	50	78.945	0.088	0.024
3	A3	51	79.024	0.088	0.021
3	A3	52	79.103	0.086	0.018
3	A3	53	79.182	0.085	0.016
3	A3	54	79.261	0.084	0.014
3	A3	55	79.340	0.081	0.012
3	A3	56	79.420	0.082	0.011
3	A3	57	79.499	0.080	0.009
3	A3	58	79.578	0.079	0.008
3	A3	59	79.657	0.080	0.007
3	A3	60	79.736	0.079	0.006
3	A3	61	79.816	0.077	0.005
3	A3	62	79.895	0.078	0.004
3	A3	63	79.974	0.080	0.004
3	A3	64	80.053	0.076	0.004
3	A3	65	80.132	0.077	0.004
3	A3	66	80.211	0.076	0.004
3	A3	67	80.291	0.076	0.003
3	A3	68	80.370	0.077	0.003
3	A3	69	80.449	0.076	0.003
3	A3	70	80.528	0.073	0.003
3	A3	71	80.607	0.076	0.003
3	A3	72	80.686	0.076	0.003
3	A3	73	80.766	0.075	0.003
3	A3	74	80.845	0.074	0.003
3	A3	75	80.924	0.074	0.003
3	A3	76	81.003	0.074	0.003
3	A3	77	81.082	0.074	0.003
3	A3	78	81.161	0.073	0.003
3	A3	79	81.241	0.074	0.003
3	A3	80	81.320	0.072	0.003
3	A3	81	81.399	0.072	0.003
3	A3	82	81.478	0.073	0.002
3	A3	83	81.557	0.072	0.002
3	A3	84	81.636	0.071	0.001
3	A3	85	81.716	0.072	0.001
3	A3	86	81.795	0.072	0.001
3	A3	87	81.874	0.073	0.001
3	A3	88	81.953	0.074	0.002
3	A3	89	82.032	0.072	0.002
3	A3	90	82.111	0.070	0.003
3	A3	91	82.191	0.071	0.003
3	A3	92	82.270	0.071	0.002
3	A3	93	82.349	0.070	0.002
3	A3	94	82.428	0.070	0.002
3	A3	95	82.507	0.072	0.002
3	A3	96	82.586	0.069	0.002
3	A3	97	82.666	0.070	0.002
3	A3	98	82.745	0.070	0.002
3	A3	99	82.824	0.069	0.002
3	A3	100	82.903	0.069	0.002
3	A3	101	82.982	0.068	0.002
3	A3	102	83.061	0.069	0.001
3	A3	103	83.141	0.071	0.001
3	A3	104	83.220	0.067	0.001
3	A3	105	83.299	0.069	0.001
3	A3	106	83.378	0.068	0.001
3	A3	107	83.457	0.070	0.000
3	A3	108	83.536	0.069	0.001
3	A3	109	83.616	0.070	0.001
3	A3	110	83.695	0.068	0.001
3	A3	111	83.774	0.067	0.002
3	A3	112	83.853	0.070	0.002
3	A3	113	83.932	0.068	0.002
3	A3	114	84.011	0.068	0.003
3	A3	115	84.091	0.068	0.003
3	A3	116	84.170	0.067	0.002
3	A3	117	84.249	0.067	0.002
3	A3	118	84.328	0.067	0.002
3	A3	119	84.407	0.067	0.001
3	A3	120	84.486	0.068	0.001
3	A3	121	84.566	0.067	0.001
3	A3	122	84.645	0.067	0.000
3	A3	123	84.724	0.067	0.001
3	A3	124	84.803	0.067	0.001
3	A3	125	84.882	0.066	0.001
3	A3	126	84.961	0.068	0.001
3	A3	127	85.041	0.066	0.002
3	A3	128	85.120	0.066	0.002
3	A3	129	85.199	0.065	0.002
3	A3	130	85.278	0.066	0.002
3	A3	131	85.357	0.066	0.002
3	A3	132	85.436	0.065	0.002
3	A3	133	85.516	0.067	0.002
3	A3	134	85.595	0.065	0.002
3	A3	135	85.674	0.065	0.002
3	A3	136	85.753	0.064	0.002
3	A3	137	85.832	0.065	0.001
3	A3	138	85.911	0.065	0.001
3	A3	139	85.991	0.064	0.001
3	A3	140	86.070	0.065	0.001
3	A3	141	86.149	0.065	0.001
3	A3	142	86.228	0.065	0.001
3	A3	143	86.307	0.065	0.002
3	A3	144	86.386	0.065	0.002
3	A3	145	86.466	0.064	0.003
3	A3	146	86.545	0.063	0.003
3	A3	147	86.624	0.063	0.003
3	A3	148	86.703	0.063	0.002
3	A3	149	86.782	0.063	0.002
3	A3	150	86.862	0.062	0.001
3	A3	151	86.941	0.063	0.001
3	A3	152	87.020	0.062	0.000
3	A3	153	87.099	0.063	-0.000
3	A3	154	87.178	0.062	-0.000
3	A3	155	87.257	0.064	-0.000
3	A3	156	87.337	0.062	0.000
3	A3	157	87.416	0.063	0.001
3	A3	158	87.495	0.064	0.001
3	A3	159	87.574	0.063	0.001
3	A3	160	87.653	0.062	0.002
3	A3	161	87.732	0.062	0.002
3	A3	162	87.812	0.061	0.001
3	A3	163	87.891	0.063	0.001
3	A3	164	87.970	0.061	0.001
3	A3	165	88.049	0.064	0.001
3	A3	166	88.128	0.062	0.001
3	A3	167	88.207	0.059	0.001
3	A3	168	88.287	0.062	0.001
3	A3	169	88.366	0.063	0.002
3	A3	170	88.445	0.062	0.002
3	A3	171	88.524	0.062	0.002
3	A3	172	88.603	0.059	0.002
3	A3	173	88.682	0.060	0.002
3	A3	174	88.762	0.063	0.002
3	A3	175	88.841	0.061	0.002
3	A3	176	88.920	0.060	0.001
3	A3	177	88.999	0.060	0.001
3	A3	178	89.078	0.060	0.001
3	A3	179	89.157	0.060	0.001
3	A3	180	89.237	0.059	0.001
3	A3	181	89.316	0.061	0.001
3	A3	182	89.395	0.060	0.000
3	A3	183	89.474	0.060	0.001
3	A3	184	89.553	0.060	0.001
3	A3	185	89.632	0.060	0.001
3	A3	186	89.712	0.059	0.001
3	A3	187	89.791	0.059	0.001
3	A3	188	89.870	0.060	0.000
4	A4	1	75.065	0.351	0.108
4	A4	2	75.145	0.341	0.115
4	A4	3	75.224	0.324	0.123
4	A4	4	75.303	0.303	0.131
4	A4	5	75.382	0.288	0.136
4	A4	6	75.461	0.268	0.139
4	A4	7	75.540	0.253	0.138
4	A4	8	75.620	0.236	0.134
4	A4	9	75.699	0.222	0.128
4	A4	10	75.778	0.207	0.121
4	A4	11	75.857	0.195	0.112
4	A4	12	75.936	0.182	0.103
4	A4	13	76.015	0.174	0.095
4	A4	14	76.095	0.164	0.086
4	A4	15	76.174	0.154	0.078
4	A4	16	76.253	0.147	0.071
4	A4	17	76.332	0.140	0.063
4	A4	18	76.411	0.132	0.057
4	A4	19	76.490	0.127	0.050
4	A4	20	76.570	0.124	0.044
4	A4	21	76.649	0.119	0.039
4	A4	22	76.728	0.115	0.034
