* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-07-09 18:38:45 PM CST
* Date Modified = 2018-07-09 20:35:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = H:\Spring_Work\35. Data\2018-5-30 pathogen qPCR\2018-07-09 183809.eds
* Experiment Name = 2018-07-09 183809
* Experiment Run Start Time = 2018-07-10 02:54:59 AM CST
* Experiment Run Stop Time = 2018-07-10 04:48:33 AM CST
* Experiment Type = Relative Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Amplification Data]
Well	Cycle	Target Name	Rn	Delta Rn
6	11	O157	0.091	-0.000
6	12	O157	0.091	-0.000
6	13	O157	0.091	-0.000
6	14	O157	0.090	-0.001
6	15	O157	0.089	-0.002
6	16	O157	0.089	-0.001
6	17	O157	0.089	-0.001
6	18	O157	0.089	-0.001
6	19	O157	0.089	-0.001
6	20	O157	0.089	-0.001
6	21	O157	0.090	-0.000
6	22	O157	0.090	-0.000
6	23	O157	0.090	-0.000
6	24	O157	0.091	0.000
6	25	O157	0.091	0.001
6	26	O157	0.092	0.002
6	27	O157	0.094	0.004
6	28	O157	0.099	0.009
6	29	O157	0.105	0.015
6	30	O157	0.119	0.029
6	31	O157	0.148	0.059
6	32	O157	0.206	0.116
6	33	O157	0.313	0.223
6	34	O157	0.512	0.423
6	35	O157	0.854	0.764
6	36	O157	1.355	1.266
6	37	O157	1.953	1.863
6	38	O157	2.488	2.399
6	39	O157	2.893	2.803
6	40	O157	3.162	3.072
7	1	O157	0.111	0.003
7	2	O157	0.111	0.003
7	3	O157	0.110	0.002
7	4	O157	0.109	0.001
7	5	O157	0.109	0.001
7	6	O157	0.108	0.000
7	7	O157	0.108	-0.000
7	8	O157	0.108	0.001
7	9	O157	0.108	0.000
7	10	O157	0.107	-0.000
7	11	O157	0.107	-0.000
7	12	O157	0.107	0.000
7	13	O157	0.106	-0.001
7	14	O157	0.106	-0.001
7	15	O157	0.105	-0.002
7	16	O157	0.105	-0.002
7	17	O157	0.106	-0.001
7	18	O157	0.105	-0.002
7	19	O157	0.105	-0.001
7	20	O157	0.105	-0.001
7	21	O157	0.106	-0.001
7	22	O157	0.106	-0.000
7	23	O157	0.105	-0.001
7	24	O157	0.105	-0.001
7	25	O157	0.106	0.000
7	26	O157	0.107	0.001
7	27	O157	0.107	0.002
7	28	O157	0.109	0.004
7	29	O157	0.113	0.008
7	30	O157	0.119	0.014
7	31	O157	0.133	0.028
7	32	O157	0.158	0.053
7	33	O157	0.209	0.104
7	34	O157	0.306	0.202
7	35	O157	0.484	0.379
7	36	O157	0.793	0.689
7	37	O157	1.265	1.160
7	38	O157	1.838	1.734
7	39	O157	2.375	2.271
7	40	O157	2.749	2.645
8	1	O157	0.288	-0.017
8	2	O157	0.292	-0.014
8	3	O157	0.299	-0.007
8	4	O157	0.303	-0.003
8	5	O157	0.305	-0.002
8	6	O157	0.307	0.000
8	7	O157	0.309	0.001
8	8	O157	0.309	0.001
8	9	O157	0.309	0.000
8	10	O157	0.310	0.001
8	11	O157	0.312	0.003
8	12	O157	0.313	0.003
8	13	O157	0.312	0.002
8	14	O157	0.312	0.002
8	15	O157	0.314	0.003
8	16	O157	0.314	0.002
8	17	O157	0.314	0.002
8	18	O157	0.314	0.001
8	19	O157	0.314	0.001
8	20	O157	0.314	0.000
8	21	O157	0.314	-0.000
8	22	O157	0.313	-0.001
8	23	O157	0.312	-0.003
8	24	O157	0.313	-0.002
8	25	O157	0.313	-0.002
8	26	O157	0.315	-0.001
8	27	O157	0.315	-0.002
8	28	O157	0.317	-0.000
8	29	O157	0.320	0.002
8	30	O157	0.332	0.014
